ID,Lemma,Complement,Precision,URL
10394,Alphabétisation,,,http://hls-dhs-dss.ch/fr/articles/010394/2015-01-21/
16338,Alpinisme,,,http://hls-dhs-dss.ch/fr/articles/016338/2008-03-11/
24151,Alte und Neue Welt,,,http://hls-dhs-dss.ch/fr/articles/024151/2019-12-10/
43146,Alu Menziken,,,http://hls-dhs-dss.ch/fr/articles/043146/2001-05-22/
41942,Alusuisse,,,http://hls-dhs-dss.ch/fr/articles/041942/2013-03-14/
28697,Ambassadeur de France,,,http://hls-dhs-dss.ch/fr/articles/028697/2001-07-09/
27658,Amidonnier,,,http://hls-dhs-dss.ch/fr/articles/027658/2012-11-29/
16501,Amies de la jeune fille (AJF),,,http://hls-dhs-dss.ch/fr/articles/016501/2022-06-09/
10252,Amman,,,http://hls-dhs-dss.ch/fr/articles/010252/2001-07-10/
25823,Amnesty International (AI),,,http://hls-dhs-dss.ch/fr/articles/025823/2001-07-05/
11872,Amphithéâtre,,,http://hls-dhs-dss.ch/fr/articles/011872/2023-01-09/
17167,Amstalden,affaire,,http://hls-dhs-dss.ch/fr/articles/017167/2001-07-20/
7847,Amélioration foncière,,,http://hls-dhs-dss.ch/fr/articles/007847/2016-11-29/
7844,Aménagement du territoire,,,http://hls-dhs-dss.ch/fr/articles/007844/2011-05-19/
11421,Anabaptisme,,,http://hls-dhs-dss.ch/fr/articles/011421/2012-08-14/
17399,Anarchisme,,,http://hls-dhs-dss.ch/fr/articles/017399/2002-06-17/
41558,Ane,,,http://hls-dhs-dss.ch/fr/articles/041558/2004-11-04/
11198,Anglais,,,http://hls-dhs-dss.ch/fr/articles/011198/2010-12-23/
41777,Anglo-Swiss Condensed Milk Co.,,,http://hls-dhs-dss.ch/fr/articles/041777/2008-09-11/
16223,Animaux domestiques,,,http://hls-dhs-dss.ch/fr/articles/016223/2007-11-29/
16449,animaux,protection des,,http://hls-dhs-dss.ch/fr/articles/016449/2015-12-18/
24756,Annabelle,,,http://hls-dhs-dss.ch/fr/articles/024756/2001-08-03/
12816,Annales,,,http://hls-dhs-dss.ch/fr/articles/012816/2001-08-09/
27042,Annonciades,,,http://hls-dhs-dss.ch/fr/articles/027042/1999-03-15/
43367,Annus Christi,,,http://hls-dhs-dss.ch/fr/articles/043367/2008-02-13/
11513,Année liturgique,,,http://hls-dhs-dss.ch/fr/articles/011513/2021-01-14/
8252,Anthropologie,,,http://hls-dhs-dss.ch/fr/articles/008252/2023-10-10/
11397,Anthroposophie,,,http://hls-dhs-dss.ch/fr/articles/011397/2002-06-07/
30177,Anticléricalisme,,,http://hls-dhs-dss.ch/fr/articles/030177/2001-08-09/
27836,Anticommunisme,,,http://hls-dhs-dss.ch/fr/articles/027836/2009-03-23/
27835,Antifascisme,,,http://hls-dhs-dss.ch/fr/articles/027835/2016-06-27/
30178,Antimilitarisme,,,http://hls-dhs-dss.ch/fr/articles/030178/2006-09-19/
8936,Antiquités juridiques,,,http://hls-dhs-dss.ch/fr/articles/008936/2013-01-29/
11731,Antistès,,,http://hls-dhs-dss.ch/fr/articles/011731/2002-06-07/
11379,Antisémitisme,,,http://hls-dhs-dss.ch/fr/articles/011379/2009-11-18/
11449,Antitrinitaires,,,http://hls-dhs-dss.ch/fr/articles/011449/1998-04-08/
13950,Apiculture,,,http://hls-dhs-dss.ch/fr/articles/013950/2011-03-09/
26228,Appareils ménagers,,,http://hls-dhs-dss.ch/fr/articles/026228/2007-11-29/
