value,text
DFS,"Wochenblatt für die vier löblichen Kantone Ury, Schwytz, Unterwalden und Zug"
WBT,Wochenblatt für den Kanton Thurgau
ZBO,Zuger Bote
ZKA,Zuger Kantons-Anzeiger
ZGN,Zuger Nachrichten
ZVB,Zuger Volksblatt
ZWO,Zuger Wochenblatt
ZWZ,Zuger Wochenzeitung
ZBT,Der Zugerbieter
ZKB,Zugerisches Kantonsblatt
ZFZ,Zürcherische Freitagszeitung
ZWB,Zürcherisches Wochenblatt
ZOB,Zürcher Oberländer
